,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
171,2017,Tata,Tata Tiago Revotron XZ,Tiago,590000.0,8081.0,Petrol,Bangalore
172,2017,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.2 AT,Baleno,785000.0,39640.0,Petrol,Bangalore
173,2016,Volkswagen,Volkswagen Ameo Comfortline 1.2L (P),Ameo,590000.0,18807.0,Petrol,Bangalore
174,2016,Hyundai,Hyundai Xcent SX 1.2 (O),Xcent,585000.0,21992.0,Petrol,Bangalore
175,2017,Ford,Ford EcoSport Trend + 1.5L TDCi,EcoSport,785000.0,53368.0,Diesel,Bangalore
176,2018,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Elite,660000.0,28131.0,Petrol,Bangalore
177,2016,Tata,Tata Tiago Revotron XZ,Tiago,515000.00000000006,54863.0,Petrol,Bangalore
178,2019,Skoda,Skoda Rapid Monte Carlo 1.5 TDI AT,Rapid,1290000.0,27952.0,Diesel,Bangalore
179,2015,Hyundai,Hyundai Elite i20 Magna 1.2,Elite,569000.0,13065.0,Petrol,Bangalore
180,2015,Renault,Renault Kwid RXT [2015-2019],Kwid,340000.0,54806.0,Petrol,Bangalore
181,2016,Honda,Honda Jazz S MT [2015-2016],Jazz,580000.0,44814.0,Petrol,Bangalore
182,2018,Honda,Honda City V,City,925000.0,60596.0,Petrol,Bangalore
183,2018,Skoda,Skoda Rapid Style 1.6 MPI AT,Rapid,1195000.0,22800.0,Petrol,Bangalore
184,2018,Hyundai,Hyundai Creta SX 1.6 Petrol,Creta,1285000.0,10100.0,Petrol,Bangalore
185,2018,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.2 AT,Baleno,690000.0,70256.0,Petrol,Bangalore
186,2018,Maruti Suzuki,Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],Eeco,434999.99999999994,41581.0,Petrol,Bangalore
187,2013,Toyota,Toyota Innova 2.5 E 8 STR,Innova,1115000.0,81844.0,Diesel,Bangalore
188,2020,Renault,Renault Triber RXZ [2019-2020],Triber,745000.0,5681.0,Petrol,Bangalore
189,2018,Hyundai,Hyundai Santro Sportz AMT [2018-2020],Santro,575000.0,14800.0,Petrol,Bangalore
190,2016,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,575000.0,40198.0,Petrol,Bangalore
191,2015,Maruti Suzuki,Maruti Suzuki Ciaz ZXI+,Ciaz,699000.0,74541.0,Petrol,Bangalore
192,2017,Tata,Tata Tiago Revotron XZ,Tiago,590000.0,8081.0,Petrol,Bangalore
193,2014,Hyundai,Hyundai Elite i20 Sportz 1.2 (O),Elite,599000.0,75447.0,Petrol,Bangalore
194,2016,Hyundai,Hyundai i10 1.1L iRDE Magna Special Edition,i10,425000.0,35043.0,Petrol,Bangalore
195,2017,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 AT,Ciaz,835000.0,18325.0,Petrol,Bangalore
196,2016,Hyundai,Hyundai Xcent S AT 1.2,Xcent,585000.0,38473.0,Petrol,Bangalore
197,2016,Tata,Tata Tiago Revotron XZ,Tiago,515000.00000000006,54863.0,Petrol,Bangalore
198,2018,Honda,Honda Amaze 1.2 V MT Petrol [2018-2020],Amaze,695000.0,16950.0,Petrol,Bangalore
199,2019,Hyundai,Hyundai Venue S 1.2 Petrol [2019-2020],Venue,815000.0,29350.0,Petrol,Bangalore
200,2019,Hyundai,Hyundai Venue S 1.2 Petrol [2019-2020],Venue,815000.0,29350.0,Petrol,Bangalore
201,2018,Honda,Honda Amaze 1.2 V MT Petrol [2018-2020],Amaze,695000.0,16950.0,Petrol,Bangalore
202,2018,Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],Vitara,860000.0,58790.0,Diesel,Bangalore
203,2017,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 AT,Ciaz,835000.0,18325.0,Petrol,Bangalore
204,2018,Maruti Suzuki,Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],Eeco,434999.99999999994,41581.0,Petrol,Bangalore
205,2018,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.2 AT,Baleno,690000.0,70256.0,Petrol,Bangalore
206,2019,Skoda,Skoda Rapid Monte Carlo 1.5 TDI AT,Rapid,1290000.0,27952.0,Diesel,Bangalore
207,2018,Audi,Audi A3 35 TDI Premium + Sunroof,A3,2775000.0,43000.0,Diesel,Bangalore
208,2018,Honda,Honda Jazz VX Petrol,Jazz,800000.0,9131.0,Petrol,Bangalore
209,2017,Renault,Renault Duster 110 PS RxZ AWD,Duster,999000.0,57800.0,Diesel,Bangalore
210,2015,Renault,Renault Kwid RXT [2015-2019],Kwid,340000.0,54806.0,Petrol,Bangalore
211,2019,Ford,Ford Freestyle Titanium Plus 1.2 Ti-VCT [2018-2020],Freestyle,740000.0,2750.0,Petrol,Bangalore
212,2017,Hyundai,Hyundai Verna 1.6 VTVT SX,Verna,925000.0,38000.0,Petrol,Bangalore
213,2008,Maruti Suzuki,Maruti Suzuki Swift VXi,Swift,340000.0,60000.0,Petrol,Bangalore
214,2016,Hyundai,Hyundai Verna 1.6 VTVT SX,Verna,725000.0,52000.0,Petrol,Bangalore
215,2010,Skoda,Skoda Superb Elegance TSI AT,Superb,675000.0,61000.0,Petrol,Bangalore
216,2005,Toyota,Toyota Innova 2.5 G4 8 STR,Innova,550000.0,202000.0,Diesel,Bangalore
217,2005,Mercedes-Benz,Mercedes-Benz C-Class 220 CDI AT,C-Class,750000.0,87000.0,Diesel,Bangalore
218,2019,Jaguar,Jaguar XE Portfolio Diesel,XE,4200000.0,14000.0,Diesel,Bangalore
219,2014,Mercedes-Benz,Mercedes-Benz E-Class E250 CDI Avantgarde,E-Class,2650000.0,48000.0,Diesel,Bangalore
220,2008,Toyota,Toyota Innova 2.5 V 7 STR,Innova,690000.0,107000.0,Diesel,Bangalore
221,2018,Maruti Suzuki,Maruti Suzuki Celerio ZXi [2017-2019],Celerio,550000.0,16000.0,Petrol,Bangalore
222,2016,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,4500000.0,70000.0,Diesel,Bangalore
223,2012,Land Rover,Land Rover Range Rover 4.4 SDV8 Vogue SE,4.4,4000000.0,160000.0,Diesel,Bangalore
224,2019,Mercedes-Benz,Mercedes-Benz GLC 220d 4MATIC Progressive [2019-2021],GLC,4500000.0,78000.0,Diesel,Bangalore
225,2018,Jaguar,Jaguar XF Portfolio Diesel,XF,4200000.0,20000.0,Diesel,Bangalore
